<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.03	09:00:00	1.11690	1.11714	1.11564	1.11585	1294	0	1
2020.01.03	09:30:00	1.11585	1.11601	1.11520	1.11531	1361	0	1
2020.01.03	10:00:00	1.11531	1.11604	1.11519	1.11582	1448	0	1
2020.01.03	10:30:00	1.11582	1.11588	1.11506	1.11511	1207	0	1
2020.01.03	11:00:00	1.11511	1.11522	1.11430	1.11469	1264	0	1
2020.01.03	11:30:00	1.11469	1.11495	1.11399	1.11400	1239	0	1
2020.01.03	12:00:00	1.11400	1.11434	1.11313	1.11347	1509	0	1
2020.01.03	12:30:00	1.11347	1.11367	1.11306	1.11359	1069	0	1
2020.01.03	13:00:00	1.11359	1.11359	1.11265	1.11296	1048	0	1
2020.01.03	13:30:00	1.11296	1.11311	1.11250	1.11298	955	0	1
2020.01.03	14:00:00	1.11298	1.11326	1.11281	1.11302	955	0	1
2020.01.03	14:30:00	1.11302	1.11425	1.11298	1.11390	1043	0	1
2020.01.03	15:00:00	1.11390	1.11487	1.11375	1.11457	1301	0	1
2020.01.03	15:30:00	1.11457	1.11477	1.11372	1.11382	851	0	1
2020.01.03	16:00:00	1.11382	1.11488	1.11353	1.11462	1086	0	1
2020.01.03	16:30:00	1.11464	1.11541	1.11460	1.11522	1498	0	1
2020.01.03	17:00:00	1.11522	1.11671	1.11522	1.11629	2436	0	1
2020.01.03	17:30:00	1.11629	1.11673	1.11560	1.11634	1483	0	1
2020.01.03	18:00:00	1.11634	1.11744	1.11624	1.11735	1210	0	1
2020.01.03	18:30:00	1.11735	1.11797	1.11711	1.11719	1177	0	1
2020.01.03	19:00:00	1.11720	1.11740	1.11708	1.11727	772	0	1
2020.01.03	19:30:00	1.11727	1.11736	1.11677	1.11720	576	0	1
2020.01.03	20:00:00	1.11720	1.11732	1.11697	1.11700	582	0	2
2020.01.03	20:30:00	1.11700	1.11715	1.11660	1.11665	1158	0	1
2020.01.03	21:00:00	1.11665	1.11680	1.11612	1.11628	1105	0	1
2020.01.03	21:30:00	1.11628	1.11676	1.11615	1.11673	775	0	2
2020.01.03	22:00:00	1.11673	1.11673	1.11615	1.11617	531	0	2
2020.01.03	22:30:00	1.11615	1.11619	1.11600	1.11614	442	0	1
2020.01.03	23:00:00	1.11614	1.11619	1.11578	1.11599	327	0	2
2020.01.03	23:30:00	1.11599	1.11600	1.11520	1.11558	273	0	3
2020.01.06	00:00:00	1.11646	1.11661	1.11582	1.11594	227	0	3
2020.01.06	00:30:00	1.11594	1.11614	1.11591	1.11592	174	0	4
2020.01.06	01:00:00	1.11592	1.11675	1.11592	1.11673	635	0	1
2020.01.06	01:30:00	1.11673	1.11675	1.11603	1.11603	899	0	1
2020.01.06	02:00:00	1.11603	1.11680	1.11600	1.11670	774	0	1
2020.01.06	02:30:00	1.11670	1.11682	1.11628	1.11635	637	0	1
2020.01.06	03:00:00	1.11635	1.11653	1.11618	1.11634	597	0	2
2020.01.06	03:30:00	1.11633	1.11638	1.11612	1.11627	487	0	2
2020.01.06	04:00:00	1.11627	1.11665	1.11622	1.11664	398	0	2
2020.01.06	04:30:00	1.11664	1.11670	1.11643	1.11653	317	0	2
2020.01.06	05:00:00	1.11653	1.11707	1.11652	1.11703	374	0	1
2020.01.06	05:30:00	1.11703	1.11709	1.11657	1.11658	564	0	1
2020.01.06	06:00:00	1.11658	1.11662	1.11624	1.11633	493	0	1
2020.01.06	06:30:00	1.11633	1.11643	1.11616	1.11642	309	0	2
2020.01.06	07:00:00	1.11642	1.11650	1.11637	1.11643	293	0	3
2020.01.06	07:30:00	1.11643	1.11647	1.11605	1.11623	317	0	2
2020.01.06	08:00:00	1.11623	1.11625	1.11571	1.11603	474	0	1
2020.01.06	08:30:00	1.11603	1.11614	1.11574	1.11606	429	0	2
2020.01.06	09:00:00	1.11603	1.11650	1.11595	1.11628	935	0	1
2020.01.06	09:30:00	1.11627	1.11666	1.11615	1.11644	909	0	1
2020.01.06	10:00:00	1.11647	1.11697	1.11630	1.11665	1169	0	1
2020.01.06	10:30:00	1.11665	1.11798	1.11653	1.11785	1129	0	1
2020.01.06	11:00:00	1.11785	1.11814	1.11752	1.11790	977	0	1
2020.01.06	11:30:00	1.11789	1.11936	1.11785	1.11932	1143	0	1
2020.01.06	12:00:00	1.11932	1.11995	1.11899	1.11961	1044	0	1
2020.01.06	12:30:00	1.11961	1.11982	1.11924	1.11961	785	0	2
2020.01.06	13:00:00	1.11961	1.12052	1.11961	1.12024	1158	0	1
2020.01.06	13:30:00	1.12024	1.12054	1.12009	1.12032	803	0	1
2020.01.06	14:00:00	1.12032	1.12042	1.11958	1.11980	666	0	1
2020.01.06	14:30:00	1.11980	1.11997	1.11952	1.11980	596	0	1
2020.01.06	15:00:00	1.11980	1.12001	1.11912	1.11957	953	0	1
2020.01.06	15:30:00	1.11959	1.12032	1.11949	1.11977	956	0	1
2020.01.06	16:00:00	1.11976	1.12002	1.11929	1.11946	861	0	1
2020.01.06	16:30:00	1.11946	1.11962	1.11826	1.11831	1174	0	1
2020.01.06	17:00:00	1.11831	1.11881	1.11826	1.11875	1020	0	1
2020.01.06	17:30:00	1.11876	1.11901	1.11821	1.11885	1502	0	1
2020.01.06	18:00:00	1.11885	1.11896	1.11809	1.11857	1081	0	1
2020.01.06	18:30:00	1.11857	1.11878	1.11846	1.11872	868	0	1
2020.01.06	19:00:00	1.11872	1.11960	1.11842	1.11929	705	0	2
2020.01.06	19:30:00	1.11929	1.11950	1.11906	1.11949	470	0	1
2020.01.06	20:00:00	1.11949	1.11966	1.11931	1.11955	580	0	2
2020.01.06	20:30:00	1.11955	1.11978	1.11917	1.11919	480	0	2
2020.01.06	21:00:00	1.11919	1.11928	1.11901	1.11920	344	0	1
2020.01.06	21:30:00	1.11920	1.11922	1.11880	1.11912	418	0	2
2020.01.06	22:00:00	1.11912	1.11917	1.11890	1.11902	388	0	2
2020.01.06	22:30:00	1.11901	1.11937	1.11893	1.11937	433	0	1
2020.01.06	23:00:00	1.11934	1.11955	1.11928	1.11946	203	0	2
2020.01.06	23:30:00	1.11946	1.11989	1.11946	1.11968	300	0	1
2020.01.07	00:00:00	1.11960	1.11960	1.11932	1.11946	197	0	2
2020.01.07	00:30:00	1.11946	1.11965	1.11945	1.11952	140	0	2
2020.01.07	01:00:00	1.11952	1.11975	1.11947	1.11951	327	0	2
2020.01.07	01:30:00	1.11951	1.11962	1.11940	1.11953	436	0	2
2020.01.07	02:00:00	1.11952	1.11955	1.11930	1.11936	453	0	2
2020.01.07	02:30:00	1.11936	1.11936	1.11891	1.11897	411	0	1
2020.01.07	03:00:00	1.11897	1.11971	1.11896	1.11965	467	0	2
2020.01.07	03:30:00	1.11965	1.11969	1.11933	1.11934	451	0	1
2020.01.07	04:00:00	1.11934	1.11934	1.11914	1.11918	270	0	2
2020.01.07	04:30:00	1.11918	1.11923	1.11909	1.11914	156	0	3
2020.01.07	05:00:00	1.11914	1.11943	1.11911	1.11930	272	0	2
2020.01.07	05:30:00	1.11930	1.11944	1.11920	1.11922	275	0	2
2020.01.07	06:00:00	1.11922	1.11934	1.11911	1.11930	328	0	2
2020.01.07	06:30:00	1.11929	1.11933	1.11905	1.11908	259	0	1
2020.01.07	07:00:00	1.11908	1.11924	1.11901	1.11913	226	0	2
2020.01.07	07:30:00	1.11913	1.11918	1.11828	1.11829	336	0	1
2020.01.07	08:00:00	1.11829	1.11885	1.11808	1.11852	839	0	1
2020.01.07	08:30:00	1.11852	1.11896	1.11810	1.11815	795	0	1
2020.01.07	09:00:00	1.11817	1.11853	1.11782	1.11815	1068	0	1
2020.01.07	09:30:00	1.11814	1.11815	1.11729	1.11740	1257	0	1
2020.01.07	10:00:00	1.11740	1.11808	1.11725	1.11804	1226	0	2
2020.01.07	10:30:00	1.11805	1.11875	1.11802	1.11845	1357	0	1
2020.01.07	11:00:00	1.11845	1.11896	1.11808	1.11830	1053	0	2
2020.01.07	11:30:00	1.11828	1.11845	1.11804	1.11844	879	0	2
2020.01.07	12:00:00	1.11843	1.11860	1.11647	1.11660	1311	0	1
2020.01.07	12:30:00	1.11662	1.11766	1.11661	1.11762	924	0	1
2020.01.07	13:00:00	1.11762	1.11792	1.11720	1.11787	940	0	2
2020.01.07	13:30:00	1.11787	1.11849	1.11763	1.11817	936	0	1
2020.01.07	14:00:00	1.11817	1.11832	1.11771	1.11795	940	0	1
2020.01.07	14:30:00	1.11795	1.11805	1.11711	1.11747	951	0	1
2020.01.07	15:00:00	1.11746	1.11779	1.11676	1.11737	1415	0	1
2020.01.07	15:30:00	1.11737	1.11737	1.11547	1.11561	1394	0	1
2020.01.07	16:00:00	1.11560	1.11622	1.11550	1.11576	1041	0	1
2020.01.07	16:30:00	1.11576	1.11598	1.11464	1.11476	1621	0	1
2020.01.07	17:00:00	1.11457	1.11517	1.11377	1.11397	1885	0	1
2020.01.07	17:30:00	1.11397	1.11426	1.11342	1.11416	1689	0	1
2020.01.07	18:00:00	1.11416	1.11440	1.11335	1.11384	1171	0	1
2020.01.07	18:30:00	1.11385	1.11392	1.11341	1.11370	718	0	1
2020.01.07	19:00:00	1.11368	1.11460	1.11367	1.11440	765	0	1
2020.01.07	19:30:00	1.11440	1.11471	1.11417	1.11424	770	0	1
2020.01.07	20:00:00	1.11424	1.11495	1.11413	1.11489	554	0	2
2020.01.07	20:30:00	1.11489	1.11492	1.11433	1.11435	388	0	1
2020.01.07	21:00:00	1.11435	1.11442	1.11417	1.11432	665	0	2
2020.01.07	21:30:00	1.11432	1.11448	1.11419	1.11444	577	0	1
2020.01.07	22:00:00	1.11444	1.11475	1.11444	1.11464	414	0	1
2020.01.07	22:30:00	1.11464	1.11464	1.11421	1.11437	383	0	2
2020.01.07	23:00:00	1.11437	1.11464	1.11437	1.11456	273	0	2
2020.01.07	23:30:00	1.11456	1.11536	1.11450	1.11526	706	0	2
2020.01.08	00:00:00	1.11529	1.11536	1.11476	1.11488	387	0	2
2020.01.08	00:30:00	1.11488	1.11494	1.11439	1.11473	517	0	4
2020.01.08	01:00:00	1.11473	1.11539	1.11460	1.11522	676	0	1
2020.01.08	01:30:00	1.11522	1.11543	1.11475	1.11538	1030	0	1
2020.01.08	02:00:00	1.11537	1.11681	1.11524	1.11624	2424	0	1
2020.01.08	02:30:00	1.11624	1.11654	1.11585	1.11585	1681	0	1
2020.01.08	03:00:00	1.11585	1.11631	1.11584	1.11589	1483	0	2
2020.01.08	03:30:00	1.11589	1.11625	1.11548	1.11556	1392	0	1
2020.01.08	04:00:00	1.11556	1.11570	1.11539	1.11551	1137	0	1
2020.01.08	04:30:00	1.11551	1.11613	1.11530	1.11586	1272	0	1
