,Creation Time,Terminal Time,Current Time,Creation-Terminal Time,Terminal-Current Time,Creation-Current Time,Bid,Ask,TypeBroker,BrokerName,DR,Terminal,Protocol,Period,Symbol,Ask_Diff,Bid_Diff,UP,Spread,OpeningTime,ClosingTime
0,2022-03-31 08:42:24.186000,2022-03-31 08:42:24.244000,2022-03-31 08:42:35.181916,58.0,10937.916,10995.916,1.11229,1.11229,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,0.0,0.0,0,0.0,200.0,200.0
1,2022-03-31 08:42:25.264000,2022-03-31 08:42:25.322000,2022-03-31 08:42:35.197511,58.0,9875.511,9933.511,1.11231,1.11231,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,1.999999999990898e-05,1.999999999990898e-05,1,0.0,200.0,200.0
2,2022-03-31 08:42:27.842000,2022-03-31 08:42:27.900000,2022-03-31 08:42:35.213139,58.0,7313.139,7371.139,1.11229,1.11229,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,-1.999999999990898e-05,-1.999999999990898e-05,-1,0.0,200.0,200.0
3,2022-03-31 08:42:27.920000,2022-03-31 08:42:27.978000,2022-03-31 08:42:35.228766,58.0,7250.766,7308.766,1.1123,1.1123,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,1.0000000000065512e-05,1.0000000000065512e-05,1,0.0,200.0,200.0
4,2022-03-31 08:42:35.123000,2022-03-31 08:42:35.181000,2022-03-31 08:42:35.228766,58.0,47.766,105.766,1.11231,1.11231,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,9.999999999843467e-06,9.999999999843467e-06,1,0.0,200.0,200.0
5,2022-03-31 08:42:37.608000,2022-03-31 08:42:37.666000,2022-03-31 08:42:37.666257,58.0,0.257,58.257,1.1123,1.1123,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,-9.999999999843467e-06,-9.999999999843467e-06,-1,0.0,200.0,200.0
6,2022-03-31 08:42:37.717000,2022-03-31 08:42:37.775000,2022-03-31 08:42:37.791236,58.0,16.236,74.236,1.11229,1.11229,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,-1.0000000000065512e-05,-1.0000000000065512e-05,-1,0.0,200.0,200.0
7,2022-03-31 08:42:37.873000,2022-03-31 08:42:37.931000,2022-03-31 08:42:37.931859,58.0,0.859,58.859,1.1123,1.1123,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,1.0000000000065512e-05,1.0000000000065512e-05,1,0.0,200.0,200.0
8,2022-03-31 08:42:41.764000,2022-03-31 08:42:41.822000,2022-03-31 08:42:41.822486,58.0,0.486,58.486,1.11228,1.11228,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,-2.0000000000131024e-05,-2.0000000000131024e-05,-1,0.0,200.0,200.0
9,2022-03-31 08:42:41.842000,2022-03-31 08:42:41.900000,2022-03-31 08:42:41.916235,58.0,16.235,74.235,1.11229,1.11229,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,1.0000000000065512e-05,1.0000000000065512e-05,1,0.0,200.0,200.0
10,2022-03-31 08:42:42.420000,2022-03-31 08:42:42.478000,2022-03-31 08:42:42.494392,58.0,16.392,74.392,1.1123,1.1123,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,1.0000000000065512e-05,1.0000000000065512e-05,1,0.0,200.0,200.0
11,2022-03-31 08:42:43.405000,2022-03-31 08:42:43.463000,2022-03-31 08:42:43.463136,58.0,0.136,58.136,1.11232,1.11232,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,1.999999999990898e-05,1.999999999990898e-05,1,0.0,200.0,200.0
12,2022-03-31 08:42:43.498000,2022-03-31 08:42:43.556000,2022-03-31 08:42:43.572512,58.0,16.512,74.512,1.1123,1.11233,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,1.0000000000065512e-05,-1.999999999990898e-05,0,0.0,200.0,200.0
13,2022-03-31 08:42:43.639000,2022-03-31 08:42:43.697000,2022-03-31 08:42:43.697511,58.0,0.511,58.511,1.11233,1.11233,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,0.0,2.999999999997449e-05,0,0.0,200.0,200.0
14,2022-03-31 08:42:43.733000,2022-03-31 08:42:43.791000,2022-03-31 08:42:43.791235,58.0,0.235,58.235,1.11232,1.11232,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,-1.0000000000065512e-05,-1.0000000000065512e-05,-1,0.0,200.0,200.0
15,2022-03-31 08:42:43.780000,2022-03-31 08:42:43.838000,2022-03-31 08:42:43.853735,58.0,15.735,73.735,1.11231,1.11231,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,-1.0000000000065512e-05,-1.0000000000065512e-05,-1,0.0,200.0,200.0
16,2022-03-31 08:42:45.248000,2022-03-31 08:42:45.306000,2022-03-31 08:42:45.306860,58.0,0.86,58.86,1.1123,1.11233,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,2.0000000000131024e-05,-9.999999999843467e-06,0,0.0,200.0,200.0
17,2022-03-31 08:42:45.358000,2022-03-31 08:42:45.416000,2022-03-31 08:42:45.416236,58.0,0.236,58.236,1.1123,1.1123,MM,MetaQuotes Software Corp.,DEMO,MT5,ZMQ,60,EURUSD,-2.999999999997449e-05,0.0,0,0.0,200.0,200.0
