,Creation Time,Terminal Time,Current Time,Creation-Terminal Time,Terminal-Current Time,Creation-Current Time,Bid,Ask,TypeBroker,BrokerName,DR,Terminal,Protocol,Period,Symbol,Ask_Diff,Bid_Diff,UP,Spread,OpeningTime,ClosingTime
0,2021-03-11 08:20:34.540000,2021-03-11 08:20:34.540000,2021-03-11 08:20:37.930624,0.0,3390.6240000000007,3390.6240000000007,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
1,2021-03-11 08:20:34.649000,2021-03-11 08:20:34.649000,2021-03-11 08:20:37.961840,0.0,3312.84,3312.84,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
2,2021-03-11 08:20:34.758000,2021-03-11 08:20:34.758000,2021-03-11 08:20:38.008720,0.0,3250.72,3250.72,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
3,2021-03-11 08:20:34.868000,2021-03-11 08:20:34.868000,2021-03-11 08:20:38.039970,0.0,3171.97,3171.97,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
4,2021-03-11 08:20:34.977000,2021-03-11 08:20:34.977000,2021-03-11 08:20:38.086819,0.0,3109.8190000000004,3109.8190000000004,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
5,2021-03-11 08:20:35.086000,2021-03-11 08:20:35.086000,2021-03-11 08:20:38.118095,0.0,3032.095,3032.095,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
6,2021-03-11 08:20:35.196000,2021-03-11 08:20:35.196000,2021-03-11 08:20:38.164946,0.0,2968.946,2968.946,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
7,2021-03-11 08:20:35.305000,2021-03-11 08:20:35.305000,2021-03-11 08:20:38.196195,0.0,2891.195,2891.195,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
8,2021-03-11 08:20:35.414000,2021-03-11 08:20:35.414000,2021-03-11 08:20:38.243094,0.0,2829.094,2829.094,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
9,2021-03-11 08:20:35.524000,2021-03-11 08:20:35.524000,2021-03-11 08:20:38.289972,0.0,2765.972,2765.972,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
10,2021-03-11 08:20:35.633000,2021-03-11 08:20:35.633000,2021-03-11 08:20:38.321220,0.0,2688.22,2688.22,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
11,2021-03-11 08:20:35.743000,2021-03-11 08:20:35.743000,2021-03-11 08:20:38.368094,0.0,2625.094,2625.094,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
12,2021-03-11 08:20:35.852000,2021-03-11 08:20:35.852000,2021-03-11 08:20:38.399344,0.0,2547.344,2547.344,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
13,2021-03-11 08:20:35.961000,2021-03-11 08:20:35.961000,2021-03-11 08:20:38.446222,0.0,2485.222,2485.222,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
14,2021-03-11 08:20:36.071000,2021-03-11 08:20:36.071000,2021-03-11 08:20:38.477470,0.0,2406.47,2406.47,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
15,2021-03-11 08:20:36.180000,2021-03-11 08:20:36.180000,2021-03-11 08:20:38.524321,0.0,2344.321,2344.321,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
16,2021-03-11 08:20:36.290000,2021-03-11 08:20:36.290000,2021-03-11 08:20:38.555595,0.0,2265.595,2265.595,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
17,2021-03-11 08:20:36.399000,2021-03-11 08:20:36.399000,2021-03-11 08:20:38.602470,0.0,2203.47,2203.47,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
18,2021-03-11 08:20:36.508000,2021-03-11 08:20:36.508000,2021-03-11 08:20:38.633720,0.0,2125.72,2125.72,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
19,2021-03-11 08:20:36.618000,2021-03-11 08:20:36.618000,2021-03-11 08:20:38.680595,0.0,2062.595,2062.595,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
20,2021-03-11 08:20:36.727000,2021-03-11 08:20:36.727000,2021-03-11 08:20:38.711821,0.0,1984.821,1984.821,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
21,2021-03-11 08:20:36.836000,2021-03-11 08:20:36.836000,2021-03-11 08:20:38.758725,0.0,1922.725,1922.725,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
22,2021-03-11 08:20:36.946000,2021-03-11 08:20:36.946000,2021-03-11 08:20:38.789970,0.0,1843.97,1843.97,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
23,2021-03-11 08:20:37.055000,2021-03-11 08:20:37.055000,2021-03-11 08:20:38.836845,0.0,1781.845,1781.845,1.19441,1.19457,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
24,2021-03-11 08:20:37.165000,2021-03-11 08:20:37.165000,2021-03-11 08:20:38.868097,0.0,1703.0970000000002,1703.0970000000002,1.1943700000000002,1.19453,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,-3.9999999999817966e-05,-4.000000000004e-05,-1,0.00016,200.0,200.0
25,2021-03-11 08:20:37.180000,2021-03-11 08:20:37.180000,2021-03-11 08:20:38.914970,0.0,1734.97,1734.97,1.1943700000000002,1.19453,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
26,2021-03-11 08:20:37.305000,2021-03-11 08:20:37.305000,2021-03-11 08:20:38.946223,0.0,1641.223,1641.223,1.1943700000000002,1.19453,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
27,2021-03-11 08:20:37.383000,2021-03-11 08:20:37.383000,2021-03-11 08:20:38.993097,0.0,1610.0970000000002,1610.0970000000002,1.1943700000000002,1.19453,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
28,2021-03-11 08:20:37.493000,2021-03-11 08:20:37.493000,2021-03-11 08:20:39.024346,0.0,1531.346,1531.346,1.1943700000000002,1.19453,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
29,2021-03-11 08:20:37.586000,2021-03-11 08:20:37.586000,2021-03-11 08:20:39.071194,0.0,1485.194,1485.194,1.19443,1.19459,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,5.9999999999948976e-05,6.000000000017105e-05,1,0.00016,200.0,200.0
30,2021-03-11 08:20:37.602000,2021-03-11 08:20:37.602000,2021-03-11 08:20:39.118069,0.0,1516.069,1516.069,1.19443,1.19459,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
31,2021-03-11 08:20:37.711000,2021-03-11 08:20:37.711000,2021-03-11 08:20:39.149319,0.0,1438.319,1438.319,1.19443,1.19459,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
32,2021-03-11 08:20:37.821000,2021-03-11 08:20:37.821000,2021-03-11 08:20:39.196218,0.0,1375.2179999999996,1375.2179999999996,1.19443,1.19459,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
33,2021-03-11 08:20:37.930000,2021-03-11 08:20:37.930000,2021-03-11 08:20:39.227470,0.0,1297.47,1297.47,1.19443,1.19459,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
34,2021-03-11 08:20:38.039000,2021-03-11 08:20:38.039000,2021-03-11 08:20:39.274345,0.0,1235.345,1235.345,1.19443,1.19459,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
35,2021-03-11 08:20:38.149000,2021-03-11 08:20:38.149000,2021-03-11 08:20:39.305594,0.0,1156.594,1156.594,1.19443,1.19459,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
36,2021-03-11 08:20:38.258000,2021-03-11 08:20:38.258000,2021-03-11 08:20:39.352469,0.0,1094.469,1094.469,1.19443,1.19459,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
37,2021-03-11 08:20:38.368000,2021-03-11 08:20:38.368000,2021-03-11 08:20:39.383694,0.0,1015.694,1015.694,1.19443,1.19459,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
38,2021-03-11 08:20:38.414000,2021-03-11 08:20:38.414000,2021-03-11 08:20:39.430594,0.0,1016.594,1016.594,1.1943700000000002,1.19453,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,-5.9999999999948976e-05,-6.000000000017105e-05,-1,0.00016,200.0,200.0
39,2021-03-11 08:20:38.477000,2021-03-11 08:20:38.477000,2021-03-11 08:20:39.461847,0.0,984.847,984.847,1.1943700000000002,1.19453,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
40,2021-03-11 08:20:38.586000,2021-03-11 08:20:38.586000,2021-03-11 08:20:39.508720,0.0,922.72,922.72,1.1943700000000002,1.19453,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
41,2021-03-11 08:20:38.696000,2021-03-11 08:20:38.696000,2021-03-11 08:20:39.539945,0.0,843.945,843.945,1.1943700000000002,1.19453,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
42,2021-03-11 08:20:38.805000,2021-03-11 08:20:38.805000,2021-03-11 08:20:39.586845,0.0,781.845,781.845,1.1943700000000002,1.19453,MM,Dom Maklerski Banku Ochrony Srodowiska S.A.,DEMO,MT4,ZMQ,60,EURUSD,0.0,0.0,0,0.00016,200.0,200.0
